gbifID;accessRights;license;rightsHolder;institutionCode;collectionCode;basisOfRecord;occurrenceID;catalogNumber;recordedBy;occurrenceStatus;preparations;eventDate;year;month;day;eventRemarks;higherGeography;continent;countryCode;stateProvince;county;locality;decimalLatitude;decimalLongitude;typeStatus;scientificName;kingdom;phylum;class;order;family;genus;genericName;specificEpithet;infraspecificEpithet;taxonRank;taxonomicStatus;datasetKey;publishingCountry;lastInterpreted;issue;hasCoordinate;hasGeospatialIssues;taxonKey;acceptedTaxonKey;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;speciesKey;species;acceptedScientificName;verbatimScientificName;protocol;lastParsed;lastCrawled;repatriated;level0Gid;level0Name;level1Gid;level1Name;level2Gid;level2Name;iucnRedListCategory
2365686427;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 001101;MPEG.ANL 001101;"Beckman, Ruana; Pena, José; Souza, Raíssa";PRESENT;Etanol - 3;42977;2017;8;30;NULL;Pará, Belém;NULL;BR;Pará;Belém;Mocambo;1440694;-4841125;NULL;Pontoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;NULL;NULL;GENUS;DOUBTFUL;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;45176,26326;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH;PRESUMED_NEGATED_LONGITUDE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";VERDADEIRO;VERDADEIRO;2308740;2308740;1;42;255;472;3567;2308740;NULL;NULL;Pontoscolex;Pontoscolex Corethrurus;EML;45176,26326;44933,35076;FALSO;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2365686418;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 001596;MPEG.ANL 001596;"Sousa, Sandriel; Hernández, Luis; Rousseau, Guillaume";PRESENT;Etanol - 1;43327;2018;8;15;NULL;Maranhão, São Luís;SOUTH_AMERICA;BR;Maranhão;São Luís;Fazenda Escola;-4587222;-44208611;NULL;Liodrilus mendesi Righi, 1994;Animalia;Annelida;Clitellata;NULL;NULL;Liodrilus;Liodrilus;mendesi;NULL;SPECIES;ACCEPTED;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;45176,26326;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TYPE_STATUS_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";VERDADEIRO;FALSO;9512479;9512479;1;42;255;NULL;NULL;4813824;9512479;Liodrilus mendesi;Liodrilus mendesi Righi, 1994;Liodrilus mendesi;EML;45176,26326;44933,35076;FALSO;BRA;Brazil;BRA.10_1;Maranhão;BRA.10.59_2;Codó;NE
2365686416;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 001635;MPEG.ANL 001635;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";PRESENT;Etanol - 1;43508;2019;2;12;NULL;Maranhão, Caxias;SOUTH_AMERICA;BR;Maranhão;Caxias;Santa Tereza Village;-4899722;-43470833;NULL;Liodrilus mendesi Righi, 1994;Animalia;Annelida;Clitellata;NULL;NULL;Liodrilus;Liodrilus;mendesi;NULL;SPECIES;ACCEPTED;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;45176,26326;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";VERDADEIRO;FALSO;9512479;9512479;1;42;255;NULL;NULL;4813824;9512479;Liodrilus mendesi;Liodrilus mendesi Righi, 1994;Liodrilus mendesi;EML;45176,26326;44933,35076;FALSO;BRA;Brazil;BRA.10_1;Maranhão;BRA.10.52_2;Caxias;NE
2365686414;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 001031;MPEG.ANL 001031;"Beckman, Ruana; Pena, José; Souza, Raíssa";PRESENT;Etanol - 1;42977;2017;8;30;NULL;Pará, Belém;NULL;BR;Pará;Belém;Mocambo;1440694;-4841125;NULL;Pontoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;NULL;NULL;GENUS;DOUBTFUL;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;45176,26326;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH;PRESUMED_NEGATED_LONGITUDE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";VERDADEIRO;VERDADEIRO;2308740;2308740;1;42;255;472;3567;2308740;NULL;NULL;Pontoscolex;Pontoscolex Corethrurus;EML;45176,26326;44933,35076;FALSO;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2365686412;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 001036;MPEG.ANL 001036;"Beckman, Ruana; Pena, José; Souza, Raíssa";PRESENT;Etanol - 17;42977;2017;8;30;NULL;Pará, Belém;NULL;BR;Pará;Belém;Mocambo;1440694;-4841125;NULL;Pontoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;NULL;NULL;GENUS;DOUBTFUL;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;45176,26326;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH;PRESUMED_NEGATED_LONGITUDE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";VERDADEIRO;VERDADEIRO;2308740;2308740;1;42;255;472;3567;2308740;NULL;NULL;Pontoscolex;Pontoscolex Corethrurus;EML;45176,26326;44933,35076;FALSO;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2365686409;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000595;MPEG.ANL 000595;"Braga, Cesar; Ferreira, Viviane";PRESENT;Líquido - 2;39753;2008;11;NULL;Material doado Laboratório de Oceanografia Biológica/UFPA;Pará, Bragança;SOUTH_AMERICA;BR;Pará;Bragança;Ilha de Canela;NULL;NULL;NULL;Heteromastus Eisig, 1887;Animalia;Annelida;Polychaeta;NULL;Capitellidae;Heteromastus;Heteromastus;NULL;NULL;GENUS;ACCEPTED;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;45176,26326;"COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";FALSO;FALSO;7236626;7236626;1;42;256;NULL;5752;7236626;NULL;NULL;Heteromastus Eisig, 1887;Heteromastus;EML;45176,26326;44933,35076;FALSO;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2365686408;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 001568;MPEG.ANL 001568;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";PRESENT;Etanol - 1;42840;2017;4;15;NULL;Maranhão, Rosário;SOUTH_AMERICA;BR;Maranhão;Rosário;Rosário;-2853972;-44153167;NULL;Pontoscolex corethrurus (Muller, 1856);Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;NULL;SPECIES;ACCEPTED;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;45176,26326;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TYPE_STATUS_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";VERDADEIRO;FALSO;2308741;2308741;1;42;255;5958860;9272891;10943108;2308741;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;EML;45176,26326;44933,35076;FALSO;BRA;Brazil;BRA.10_1;Maranhão;BRA.10.159_2;Rosário;NE
2365686407;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 000622;MPEG.ANL 000622;"Braga, Cesar; Ferreira, Viviane";PRESENT;Líquido - 2;39753;2008;11;NULL;Material doado Laboratório de Oceanografia Biológica/UFPA;Pará, Bragança;SOUTH_AMERICA;BR;Pará;Bragança;Península Bragantina;NULL;NULL;NULL;Laeonereis culveri (Webster, 1879);Animalia;Annelida;Polychaeta;Phyllodocida;Nereididae;Laeonereis;Laeonereis;culveri;NULL;SPECIES;ACCEPTED;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;45176,26326;"COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";FALSO;FALSO;2316376;2316376;1;42;256;1079;6972;2316367;2316376;Laeonereis culveri;Laeonereis culveri (Webster, 1879);Laeonereis culveri;EML;45176,26326;44933,35076;FALSO;NULL;NULL;NULL;NULL;NULL;NULL;NE
2365686406;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 001090;MPEG.ANL 001090;"Beckman, Ruana; Pena, José; Souza, Raíssa";PRESENT;Etanol - 1;42977;2017;8;30;NULL;Pará, Belém;NULL;BR;Pará;Belém;Mocambo;1440694;-4841125;NULL;Pontoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;NULL;NULL;GENUS;DOUBTFUL;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;45176,26326;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH;PRESUMED_NEGATED_LONGITUDE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";VERDADEIRO;VERDADEIRO;2308740;2308740;1;42;255;472;3567;2308740;NULL;NULL;Pontoscolex;Pontoscolex Corethrurus;EML;45176,26326;44933,35076;FALSO;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2365686405;Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.;CC_BY_NC_4_0;Museu Paraense Emílio Goeldi (MPEG);MPEG;ANL;PRESERVED_SPECIMEN;MPEG.ANL 001083;MPEG.ANL 001083;"Beckman, Ruana; Pena, José; Souza, Raíssa";PRESENT;Etanol - 3;42977;2017;8;30;NULL;Pará, Belém;NULL;BR;Pará;Belém;Mocambo;1440694;-4841125;NULL;Pontoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Pontoscolex;Pontoscolex;NULL;NULL;GENUS;DOUBTFUL;9c48ee0b-404a-4c84-9af0-946eef39ddca;BR;45176,26326;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH;PRESUMED_NEGATED_LONGITUDE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY";VERDADEIRO;VERDADEIRO;2308740;2308740;1;42;255;472;3567;2308740;NULL;NULL;Pontoscolex;Pontoscolex Corethrurus;EML;45176,26326;44933,35076;FALSO;NULL;NULL;NULL;NULL;NULL;NULL;NULL
